timestamp,Agreement,Concentrating,Disagreement,Interested,Thinking,Unsure
03-04-2019 23:00:04:863,0.10840626914793727,0.0236402234411075,0.46235265315511875,0.062223097673929084,0.6365908668711533,0.2142659608512657 
03-04-2019 23:00:04:900,0.7419004801951361,0.7170337878408708,0.9192788561542398,0.9717083737647394,0.5361154529167619,0.21085420987957504 
03-04-2019 23:00:04:940,0.6134746917039317,0.7518352877226537,0.2373487749925698,0.1842368697900707,0.82440484932081,0.6225869553577286 
03-04-2019 23:00:04:976,0.8250175769397085,0.6133633618582867,0.18894169701111796,0.6412670815215915,0.6178799685626292,0.3120208085332353 
03-04-2019 23:00:05:14,0.5915078821001202,0.7228197381121094,0.03999850708420227,0.8993296910495364,0.20326508468412918,0.9187834676696882 
03-04-2019 23:00:05:54,0.8814511178245792,0.48181912386045755,0.5939573057388711,0.17342978001827436,0.5238302620193667,0.8694120837394844 
03-04-2019 23:00:05:89,0.2924100407777259,0.9157488224124116,0.5312717878520494,0.6135790357251586,0.966443494326494,0.8171911979093169 
03-04-2019 23:00:05:124,0.609369414074599,0.776284896190376,0.15663832607291417,0.8746858366021768,0.18503884923022906,0.9935953062761944 
03-04-2019 23:00:05:159,0.6777177344784991,0.2570517151807976,0.697653933464089,0.8265330386375093,0.510978778882553,0.39638437949054917 
03-04-2019 23:00:05:198,0.3926249065202364,0.9840294267035433,0.7542642893178914,0.6343456735048625,0.8405669631185071,0.2076704952850118 
03-04-2019 23:00:05:234,0.26180955682224005,0.1843098138480901,0.17219556539745962,0.9697232585516383,0.9105073993893186,0.5526859239663614 
03-04-2019 23:00:05:270,0.4166076570980888,0.8122229619837497,0.722345703527664,0.48380903567208666,0.34384038700983155,0.4134889971952942 
03-04-2019 23:00:05:308,0.41147886458457883,0.46691101147327363,0.47946407477064446,0.06960703375211774,0.06236273639781942,0.4663828056208488 
03-04-2019 23:00:05:345,0.8486717533499664,0.6719708802520481,0.9658068547718589,0.3987941002002857,0.03180110663486435,0.6201711068426814 
03-04-2019 23:00:05:384,0.8275795210366085,0.7351985244723492,0.30432468083183184,0.2756344808107861,0.47672021458958536,0.082116593580149 
03-04-2019 23:00:05:422,0.12087395026357728,0.8832077046641826,0.9235950811650799,0.3921065357638154,0.8682284313353782,0.2689577537285741 
03-04-2019 23:00:05:457,0.41868678816784677,0.07385818627709706,0.01919429230619807,0.48325413789793703,0.6726295866251465,0.13570276715268348 
03-04-2019 23:00:05:495,0.8102750437666322,0.9361549651871338,0.7795587640518855,0.4520614045539231,0.47851523368136273,0.1201019596530487 
03-04-2019 23:00:05:533,0.5183412999187665,0.7861947563844239,0.3775514770803675,0.028519042798269445,0.11338677606276282,0.2143459012048069 
03-04-2019 23:00:05:569,0.07188128143616224,0.7526578315296736,0.2562486848263362,0.38244458298526407,0.8223854915853325,0.9753676482276281 
03-04-2019 23:00:05:605,0.5790383309683869,0.12890465236701776,0.3817897664636263,0.12442068506640325,0.9958085297910145,0.2891269049543924 
03-04-2019 23:00:05:641,0.47503768099256904,0.8075909866414049,0.3341701279753363,0.6188965008610403,0.141747011793265,0.486830237278315 
03-04-2019 23:00:05:678,0.3458869292771395,0.6384131065666455,0.6589933210084613,0.6047974339089329,0.03338422978046951,0.14447756839359183 
03-04-2019 23:00:05:714,0.6004913440626283,0.7835890465832914,0.30824376229631045,0.34474968241458626,0.8593080391406253,0.004783135764278468 
03-04-2019 23:00:05:755,0.25676525743350365,0.7360617069634189,0.8624234813436424,0.37641365351899947,0.7899365678109816,0.8185472145091497 
03-04-2019 23:00:05:791,0.6066422866095149,0.5493691396784541,0.8630884747480334,0.15834435157395532,0.6343303016687623,0.43280484298653354 
03-04-2019 23:00:05:828,0.3565883250136572,0.9499661318046467,0.1811780762277274,0.3379836857787555,0.8231637209249452,0.2016912970121767 
03-04-2019 23:00:05:864,0.7452269071651303,0.9187833499015549,0.3548474630992341,0.09998458133267152,0.9395732643405275,0.7208268007647701 
03-04-2019 23:00:05:901,0.522648359383501,0.35229927156343377,0.0667157769027813,0.47218737193343907,0.984765910983237,0.5411431417440996 
03-04-2019 23:00:05:941,0.07503254790671243,0.6378432527200876,0.26162508519279526,0.8774998005697796,0.057880973159669,0.7145356315129857 
03-04-2019 23:00:05:976,0.023166761448424444,0.02166138016801389,0.03601605520780837,0.48253176426800104,0.5635474879060964,0.918609898627347 
03-04-2019 23:00:06:15,0.4743127353292901,0.8651958211992431,0.26038440947516606,0.9786436057547063,0.0859321498623179,0.14468215733100875 
03-04-2019 23:00:06:52,0.12643581332529275,0.29549564412221363,0.23851373255675956,0.7032422978191407,0.4676751392306544,0.49473299092461676 
03-04-2019 23:00:06:93,0.5664561868825662,0.04748228190908366,0.3516302518062757,0.7594205882059147,0.5766679317421842,0.06553310272444368 
03-04-2019 23:00:06:130,0.9338298797967082,0.216091471900684,0.805641241011211,0.37190972023050783,0.8172458160058945,0.9746328971171124 
03-04-2019 23:00:06:168,0.19226446281690035,0.05325773325402605,0.6552461650982451,0.6472961118309737,0.34015806857195297,0.2383783091141024 
03-04-2019 23:00:06:208,0.8251667883728542,0.6932923606138097,0.913511821357478,0.9614381194548224,0.7020385076564692,0.007303596882420882 
03-04-2019 23:00:06:245,0.945436545929539,0.37740460971630585,0.12816915927624084,0.8592005303790128,0.7478195674306272,0.4785498441130771 
03-04-2019 23:00:06:282,0.906277937819056,0.5585413245825198,0.2731415772820829,0.44305059795589397,0.9791585127567818,0.07115136226435759 
03-04-2019 23:00:06:317,0.2481364149094596,0.6533195068014248,0.10473330006417059,0.9673183180621376,0.549039650909412,0.581937078999957 
03-04-2019 23:00:06:353,0.6805322393290931,0.49288318554797794,0.9145228692755828,0.7430936200052471,0.9972549296625918,0.2750715457786689 
03-04-2019 23:00:06:390,0.8140076822928703,0.728966581092371,0.8270894120833057,0.9213840952540616,0.5936627848315994,0.022826089431250196 
03-04-2019 23:00:06:427,0.8308768211416484,0.44301299450973186,0.4932991899232112,0.7414666597482328,0.2361161912472668,0.15696082841448666 
